id;Nama;Age;Balanced;Previous Balanced;Average Balanced;Free Transfer
158;Elliott;39;181;147;142;2
159;Rhett;45;175;156;143;1
160;Archer;24;177;69;243;4
161;Karter;42;113;52;248;4
162;Arthur;40;161;82;72;4
163;Luka;20;119;73;148;3
164;Elliot;24;139;58;58;4
165;Thiago;23;78;68;124;4
166;Brandon;27;116;120;166;1
167;Camden;45;139;148;62;3
168;Justin;22;109;98;144;1
169;Jesus;25;200;94;80;1
170;Maddox;27;128;148;219;2
171;King;32;99;183;167;2
172;Theo;28;52;84;193;1
173;Enzo;39;132;60;85;4
174;Matteo;30;58;192;120;4
175;Emiliano;51;177;144;171;4
176;Dean;45;177;191;201;0
177;Hayden;39;118;195;98;3
178;Finn;34;122;79;154;2
179;Brody;52;59;190;100;4
180;Antonio;32;154;62;160;1
181;Abel;40;148;188;119;3
182;Alex;34;76;67;199;2
183;Tristan;30;131;119;111;0
184;Graham;51;93;61;175;1
185;Zayden;31;91;102;106;4
186;Judah;27;137;113;231;1
187;Xander;44;65;159;50;4
188;Miguel;35;152;112;214;0
189;Atlas;48;145;144;158;4
190;Messiah;27;67;66;231;2
191;Barrett;21;88;144;230;3
192;Tucker;25;179;185;184;3
193;Timothy;32;132;63;60;1
194;Alan;40;97;51;153;4
195;Edward;45;137;104;84;4
196;Leon;53;65;197;249;1
197;Dawson;24;107;151;118;1
198;Eric;47;130;73;162;2
199;Ace;32;167;101;207;3
200;Victor;53;60;148;112;2
